Cote,Titre,Auteur,Lieu,Edition,Annee,Nb pages,Matiere,Inventaire
62-1/05,هندسة الانتاج: آلات التشعيل,"أبو صالح, حسن",سوريا,جامعة حلب,1982.0,399.0,آلات التشغيل,INV_BUA_119
62-34/04,التحكم الآلي,"أبو صالح, حسن",سوريا,جامعة حلب,1991.0,715.0,الهندسة الميكانيكية : التحكم الآلي,INV_BUA_120
669/05,طرق التصنيع: سباكة ولحام,"أبو صفية, عارف",بغداد,"الجامعة التكنولوجية, مركز التعريب والنشر",1982.0,488.0,الميتالورجيا,INV_BUA_121
669/05 مكرر,طرق التصنيع: سباكة ولحام,"أبو صفية, عارف",بغداد,الجامعة التكنولوجية مركز التعريب والنشر,1982.0,488.0,الميتالورجيا,INV_BUA_122
669/08,الميتالورجيا الفيزياوية الهندسية,"أبو صفية, عارف",بغداد,الجامعة التكنولوجية,1982.0,454.0,الميتالورجيا,INV_BUA_123
669/08 مكرر,الميتالورجيا الفيزياوية الهندسية,"أبو صفية, عارف",بغداد,الجامعة التكنولوجية,1982.0,454.0,الميتالورجيا,INV_BUA_124
336/03,موازنة البرامج بين النظرية والتطبيق,"أبو صقر, حبيب",عمان,المنظمة العربية,1981.0,72.0,المالية العامة,INV_BUA_125
946.81/16,القبائل العربية في الأندلس حتى سقوط الخلافة الأموية,"أبو ضيف أحمد, مصطفى",البيضاء,دار النشر المغربية,1983.0,507.0,تاريخ العرب الأندلسي,INV_BUA_126
946.81/16 مكرر,القبائل العربية في الأندلس حتى سقوط الخلافة الأموية,"أبو ضيف أحمد, مصطفى",البيضاء,دار النشر المغربية,1983.0,497.0,تاريخ الأندلس,INV_BUA_127
946.81/16 مكرر 2,القبائل العربية في الأندلس حتى سقوط الخلافة الأموية,"أبو ضيف, أحمد مصطفى",البيضاء,دار النشر المغربية,1983.0,504.0,تاريخ الأندلس,INV_BUA_128
343.2/09,قانون العقوبات: القسم الخاص,"أبو عامر, محمد زكي",بيروت,الدار الجامعية,1984.0,412.0,القانون الجنائي,INV_BUA_129
343/04,قانون العقوبات: القسم الخاص,"أبو عامر, محمد زكي",بيروت,الدار الجامعية,1989.0,412.0,القانون الجنائي,INV_BUA_130
801.551/13 ق1,المعنى والإعراب عند النحويين ونظرية العامل,"أبو عبد الله, عبد العزيز عبده",طرابلس,دار الكتاب والتوزيع والإعلان والمطابع,1982.0,515.0,الإعراب,INV_BUA_131
801.551/14 ق2,المعنى والإعراب عند النحويين ونظرية العامل,"أبو عبد الله, عبد العزيز عبده",طرابلس,دار الكتاب والتوزيع والإعلان والمطابع,1982.0,1035.0,الإعراب,INV_BUA_132
327/41 ج1,تلك الأيام مذكرات وذكرايات - الجزء الأول,"أبو عز الدين, حليم سعيد",بيروت,دار الآفاق الجديدة,1982.0,1543.0,العلاقات السياسية الدولية,INV_BUA_133
327/41 ج2,تلك الأيام مذكرات وذكريات. الجزء الثاني,"أبو عز الدين, حليم سعيد",بيروت,دار الآفاق الجديدة,1982.0,3302.0,العلاقات السياسية,INV_BUA_134
935/01,معركة استقلال المغرب,"أبو عزام, محمد التهامي السلوي",غير محدد,غير محدد,1983.0,221.0,التاريخ المغربي,INV_BUA_135
92/04,المقاومة والوجدان عب الشعب والذات,"أبو عزام, محمد السلوى",البيضاء,مطبعة النجاح الجديدة,1990.0,682.0,بيوغرافيا,INV_BUA_136
