Cote,Titre,Auteur,Lieu,Edition,Annee,Nb pages,Matiere,Inventaire
37.014/08,الموهوبون:أساليب اكتشافهم وسبل رعايتهمفي التعليم الأساسي,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1997.0,408.0,سياسة التربية: الموهوبون,INV_BUA_9372
37.015.3/07,وقائع ندوة كتب الأطفال في دول الخليج العربية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1985.0,149.0,التربية والتعليم,INV_BUA_9373
37.015.3/07 مكرر,وقائع ندوة كتب الأطفال في دول الخليج العربية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1985.0,149.0,التربية والتعليم,INV_BUA_9374
37.02/01,الإتجاهات الحديثة في تدريس علم الأحياء في المرحلة الثانوية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1994.0,356.0,مناهج وطرق التدريس,INV_BUA_9375
37.02/05,التقرير الختامي للحلقة الدراسية لتطوير مناهج وكتب الرياضيات والعلوم في المرحلتين الإبتدائية والإعدادية في مراحل التعليم العام بدول الخليج العربي,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1985.0,116.0,مناهج وطرق التدريس,INV_BUA_9376
37.02/05 مكرر,التقرير الختامي للحلقة الدراسية لتطوير مناعج وكتب الرياضيات في المرحلتينالابتدائية والإعدادية في مراحل التعليم العام بدول الخليج العربي,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1985.0,120.0,مناهج وطرق التدريس,INV_BUA_9377
37/19,الاهداف التربوية والاسس العامة للمناهج بدول الخليج العربية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1983.0,31.0,التربية والتعليم,INV_BUA_9378
37/20,التربية والتنمية الاقليمية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1984.0,130.0,التربية والتعليم,INV_BUA_9379
37/20 مكرر,التربية والتنمية الإقليمية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1984.0,130.0,التربية والتعليم,INV_BUA_9380
37/47,من قضايا التعليم,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1986.0,38.0,التربية والتعليم,INV_BUA_9381
37/47 مكرر,من قضايا التعليم,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1986.0,38.0,التربية والتعليم,INV_BUA_9382
37/47 مكرر2,من قضايا التعليم,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1986.0,38.0,التربية والتعليم,INV_BUA_9383
37/50,تطور المؤشرات الاساسية الكمية في التعليم العام بدول الخليج العربية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1990.0,37.0,التربية والتعليم,INV_BUA_9384
37/55,الخطة متوسطة المدى الثالثة لعمل مكتب التربية العربي لدول الخليج الاهداف...المحاور....البرامج,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1991.0,177.0,التربية والتعليم,INV_BUA_9385
37/58,التربية والتنمية الاقليمية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1984.0,130.0,التربية والتعليم,INV_BUA_9386
37/58 مكرر,التربية والتنمية الاقليمية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1984.0,130.0,التربية والتعليم,INV_BUA_9387
37/59,الاتجاهات العالمية المعاصرة في القيادة التربوية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1984.0,215.0,التربية والتعليم,INV_BUA_9388
37/59 مكرر,الاتجاهات العالمية المعاصرة في القيادة التربوية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1984.0,215.0,التربية والتعليم,INV_BUA_9389
37/59 مكرر2,الإتجاهات العالمية المعاصرة في القيادة التربوية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1984.0,215.0,التربية والتعليم,INV_BUA_9390
37/61,الانسان والبيئة: التربية البيئية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1990.0,546.0,التربية والتعليم,INV_BUA_9391
37/64,مكانة المعلمين وتيقة لتطويرها: التوصية الدولية الصادرة عام 1966 مع شروح اللجنة المشتركة المشكلة 1984 من منظمة العمل الدولية ومنظمة اليونسكو,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1989.0,114.0,التربية والتعليم,INV_BUA_9392
37/77,من قضايا التعليم,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1986.0,39.0,التربية والتعليم,INV_BUA_9393
37/84,تطور التعليم في دول الخليج العربية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1992.0,276.0,التربية والتعليم,INV_BUA_9394
37/89,الترجمة ثضايا ومشكلات وحلول: 3التحطيط الإجتماعي والتعليمي للترجمة,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1985.0,47.0,التربية والتعليم,INV_BUA_9395
37/92,التطور النوعي للتعليم في دولالخليج العربية خلال العوام,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1998.0,208.0,التربية التعليم,INV_BUA_9396
37:297/03 م2,من أعلام التربية العربية الاسلامية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1988.0,345.0,تاريخ التربية والتعليم الإسلامي,INV_BUA_9397
37:297/03 م3,من أعلام التربية العربية الإسلامية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1989.0,359.0,تاريخ التربية والتعليم الإسلامي,INV_BUA_9398
371.11/01,الإتجاهات العالمية المعاصرة في القيادة التربوية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1984.0,216.0,الإدارة التربوية,INV_BUA_9399
371.11/01 مكرر,الإتجاهات العالمية المعاصرة في القيادة التربوية,مكتب التربية العربي لدول الخليج,غير محدد,مكتب التربية العربي لدول الخليج,1984.0,216.0,الإدارة التربوية,INV_BUA_9400
371.3/20,الشفافيات التعليمية مميزاتها واستخدامها وإنتاجها,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1981.0,96.0,مناهج وطرق التدريس: الوسائل التعليمية,INV_BUA_9401
371.67/01,الإعلام التربوي في دول الخليج العربية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية لدول الخليج,1991.0,232.0,الوسائل والأدوات التعليمية: الإعلام,INV_BUA_9402
371/34 ج1,وقائع تعليم اللغة العربية لغير الناطقين بها: المادة اللغوية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1983.0,185.0,التربية والتعليم,INV_BUA_9403
371/34 ج3,وقائع ندوات تعليم اللغة العربية لغير الناطقين بها,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1985.0,218.0,التربية والتعليم,INV_BUA_9404
371/34 ج3 مكرر,وقائع ندوات اللغة العربية لغير الناطقين بها,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الحليج,1985.0,218.0,طرق ومناهج التدريس,INV_BUA_9405
371/39 ج1,وقائع ندوة: ماذا يريد التربويون من الاعلاميين?,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1986.0,491.0,التربية والتعليم,INV_BUA_9406
371/39 ج2,قائع ندوة: ماذا يريد التربوين من الاعلاميين?,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1986.0,436.0,التربية والتعليم,INV_BUA_9407
371/39 ج3,وقائع ندوة ماذا يريد التربويون من الاعلاميين?,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1986.0,234.0,التربية والتعليم,INV_BUA_9408
371/41,الإشراف التربوي بدول الخليج العربي: واقعه وتطوره,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1985.0,141.0,التربية والتعليم,INV_BUA_9409
378.1/02,التعليم العالي والبحث العلمي في دول الخليج العربي: دراسة مسحية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1985.0,58.0,التعليم الجامعي,INV_BUA_9410
378/05,الإرشاد التربوي في جامعة دول الخليج العربي,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1990.0,203.0,التعليم الجامعي: الإرشاد التربوي,INV_BUA_9411
378/07,وقائع الإجتماع الثاني لمسؤولي البحث العلمي في أقطار الخليج العربي,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1986.0,456.0,التعليم العالي: البحث العلمي,INV_BUA_9412
378/07 مكرر,وقائع الإجتماع التاني المسؤولي البحث العلمي في أقطار الخليج العربي,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1986.0,456.0,التعليم العالي: البحث العلمي,INV_BUA_9413
378/16,وقائع الندوة الفكرية الثالتة لرؤساء ومديري الجامعات في الدول الأعضاء بمكتب التربية العربي لدول الخليج,مكتب التربية العربي لدول الخليج,بغداد,الجمهورية العراقية,1987.0,346.0,التعليم العالي,INV_BUA_9414
378/17,وقائع الندوة الفكرية الأولى لرؤساء ومديري الجامعات في الدول الأعضاء بمكتب التربيةالعربي لدول الخليج,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1985.0,393.0,التعليم العالي,INV_BUA_9415
378/31,وقائع ندوة العلوم الأساسية في جامعات دول الخليج العربي: الوقائع والآفاق المستقبلية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1990.0,308.0,التعليم العالي,INV_BUA_9416
378/32,دليل مركز البحث العلمي في دول الخليج العربي,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1989.0,120.0,التعليم العالي: البحث العلمي,INV_BUA_9417
378/35,التعليم عن بعد: ملحق الجلسة الختامية للندوة التي نظمها منتدى الفكر العربي بالتعاون مع جامعة القدس المفتوحة 8 دجنبر 1986,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1988.0,32.0,التعليم العالي,INV_BUA_9418
681.3/28,المنهج النموذجي في علم العاسبات الآلية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1985.0,160.0,إعلاميات,INV_BUA_9419
82.03/01 ج1,الترجمة قضايا ومشكلات وحلول : قضايا أساسية في الترجمة,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1985.0,77.0,الترجمة,INV_BUA_9420
82.03/01 ج1 مكرر,الترجمة قضايا ومشكلات وحلول : قضايا أساسية في الترجمة,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1985.0,77.0,الترجمة,INV_BUA_9421
82.03/01 ج2,الترجمة قضايا ومشكلات وحلول : تطور الترجمة,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1985.0,48.0,الترجمة,INV_BUA_9422
82.03/01 ج2 مكرر,الترجمة قضايا ومشكلات وحلول: تطور الترجمة,مكتب التربية العربي لدول الخليج,الرياض,مكتبة التربية العربي لدول الخليج,1985.0,48.0,الترجمة,INV_BUA_9423
82.03/01 ج3,الترجمة قضايا ومشكلات وحلول - 3 - التخطيط الإجتماعي والتعليمي للترجمة,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1985.0,44.0,الترجمة,INV_BUA_9424
82.03/01 ج4,الترجمة قضايا ومشكلات وحلول : الترجمة للتنمية البشرية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1985.0,55.0,الترجمة,INV_BUA_9425
82.03/01 ج4 مكرر,الترجمة قضايا ومشكلات وحلول :- الترجمة للتنمية البشرية,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية لدول الخليج,1985.0,55.0,الترجمة,INV_BUA_9426
82.03/01 ج5,الترجمة قضايا ومشكلات وحلول : الترجمة بين الإنسان والحاسب الآلي,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1985.0,86.0,الترجمة,INV_BUA_9427
82.03/01 ج5 مكرر,الترجمة قضايا ومشكلات وحلول. 5 الترجمة بين الإنسان والحاسب الآلي,مكتب التربية العربي لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1985.0,86.0,الترجمة,INV_BUA_9428
930.26/04,الدليل الأثري والحضاري لمنطقة الخليج العربي,مكتب التربية العربي لدول الخليج,بيروت,المكتب الإسلامي,1988.0,584.0,علم الآثار,INV_BUA_9429
930.26/04 مكرر,الدليل الأثري والحضارة لمنطقة الخليج العربي,مكتب التربية العربي لدول الخليج,بيروت,المكتب الإسلامي,1988.0,584.0,علم الآثار,INV_BUA_9430
297.432.2/09 ج1,وقائع ندوة النظم الإسلامي أبوظبي 11-13 نونبر 1984 . الجزء الأول,مكتب التربية العربي لدول الخليج العربي,أبوظبي,مكتب التربية العربي لدول الخليج,1984.0,410.0,الإسلام والدولة: التشريع السياسي,INV_BUA_9431
297.432.2/09 ج2,وقائع ندوة النظم الإسلامية: أبو ظبي 11 - 13 نوفمبر 1984 . الجزء الثاني,مكتب التربية العربي لدول الخليج العربي,الرياض,مكتب التربية العربي لدول الخليج,1987.0,384.0,الإسلام والدولة: التشريع السياسي,INV_BUA_9432
297.432.2/09 ج2 مكرر,وقائع ندوة النظم الإسلامية: أبوظبي 11 - 13 نوفمبر 1984 . الجزء الثاني,مكتب التربية العربي لدول الخليج العربي,الرياض,مكتب التربية العربي لدول الخليج,1987.0,384.0,الإسلام والدولة: التشريع السياسي,INV_BUA_9433
37.014/33,التعليم للجميع : دليل التخطيط لإعداد الخطة الوطنية.,مكتب التربية العربي لدول الخليج.,الرياض.,مكتب التربية العربي لدول الخليج.,2002.0,228.0,التخطيط التربوي.,INV_BUA_9434
371/34 ج2,وقائع ندوات تعليم اللغة العربية لغير الناطقين بها,مكتب التربية العربية لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,1985.0,306.0,التربية والتعليم,INV_BUA_9435
297.432.2/09 ج2 مكرر2,وقائع ندوة النظم الإسلامي. أبوظبي 11-13 نونبر 1984 .الجزء الثاني,مكتب التربية لدول الخليج,أبوظبي,مكتب التربية العربي لدول الخليج,1984.0,410.0,الإسلام والدولة: التشرسع السياسي,INV_BUA_9436
37.014.5/29,التكامل بين الجامغات ومؤسسات التغليم العام في دول الخليج,مكتب التربية لدول الخليج,الرياض,مكتب التربية العربي لدول الخليج,2000.0,232.0,سياسة التربية - التخطيط التربوي,INV_BUA_9437
956.0/03,الجوانب المجهولة حول جزيرة قبرص,مكتب العلاقات الدولية ايناف,تركيا,مكتب العلاقات الدولية,1994.0,119.0,تاريخ تركيا,INV_BUA_9438
331.022/01,التشريعات العمالية الوطنية والمعاهدات والاتفاقات الدولية والعربية,مكتب العمل العربي,القاهرة,مكتب العمل العربي,1982.0,67.0,تنظيم العمل ونظام العمل,INV_BUA_9439
331.5/01,الاجازات في تشريعات العمل العربية والأجنبية: دراسة مقارنة,مكتب العمل العربي,الكويت,مؤسسة الخليج للطباعة والنشر,1983.0,153.0,العطل,INV_BUA_9440
331/03,التنظيم الاجتماعي للعمل. بحث مقارن في تشريعات الدول العربية. الجزء الأول,مكتب العمل العربي,الكويت,مؤسسة الفليج للطباعة والنشر,1981.0,406.0,القانون الاجتماعي,INV_BUA_9441
331/31,الأحداث في قوانين العمل العربية والأجنبية (دراسة مقارنة),مكتب العمل العربي,الكويت,مؤسسة الخليج للطباعة والنشر,1984.0,157.0,القانون الإجتماعي,INV_BUA_9442
331/32,إتفاقيات وتوصيات العمل العربية خطوة نحو القانون العربي للعمل,مكتب العمل العربي,القاهرة,مكتب العمل العربي,1982.0,130.0,القانون الاجتماعي,INV_BUA_9443
334.6/01,التعاونيات والصناعات الصغرى والريفية في الوطن العربي,مكتب العمل العربي,غير محدد,مكتب العمل العربي,1978.0,181.0,التعاونيات,INV_BUA_9444
338.924/12,التعونيات والصناعات الصغرى والريفية في الوطن العربي,مكتب العمل العربي,الخرطوم,منظمة العمل العربية,1978.0,181.0,التصنيع,INV_BUA_9445
396.5/02,مجموعة محاضرات الدورة التدريبية المتقدمة حول القضايا الإجتماعية للمرأة العاملة اللبنانية,مكتب العمل العربي,بيروت,مكتب العمل العربي,1981.0,200.0,المرأة,INV_BUA_9446
659/21,الإعلام العمالي: واثره في التنمية الإجتماعية والإقتصادية في الوطن العربي,مكتب العمل العربي,بغداد,مكتب العمل العربي,1983.0,185.0,الإعلام,INV_BUA_9447
338.011/02,"الدورة الخاصة بالانتاجية: المفهوم العوامل المؤثرة, القياس, دور المنظمات لعمال الإتحاد العام لنقابات العمال في القطر العراقي",مكتب العنل العربي,بغداد,مكتب العمل العربي,1980.0,223.0,الانتاجية,INV_BUA_9448
330.191.5/03,دراسات تعاونية,مكتب تنمية التعاون,غير محدد,مكتب تنمية التعاون,1979.0,149.0,الاقتصاد الوطني,INV_BUA_9449
92/83,السجل الدهبي للعظماء,مكركز الأبحاث والدراسات الدولية,القاهرة,دار لرأي العام,1978.0,383.0,بيوغرافيا,INV_BUA_9450
801.56/32,المدرسة النحوية في مصر والشام: في القرنين السابع والثامن من الهجرة,"مكرم, عبد العال سالم",بيروت- القاهرة,دار الشروق,1980.0,492.0,النحو العربي,INV_BUA_9451
33/34,كلمة روبرت س.مكنمارا رئيس البنك الدولي الى مجلس المحافظين,"مكنمارا, روبرت س",واشنطن,غير محدد,1980.0,66.0,الاقتصاد السياسي,INV_BUA_9452
532/03 ج3,ميكانيك الموائع: الجزء الثالث,"مكي, محمد بشير",سوريا,جامعة حلب,1985.0,302.0,ميكانيك المواد السائلة,INV_BUA_9453
536.7/04,الفيزياء العامة والتطبيقية الترموديناميك,"مكي, محمد بشير",دمشق,جامعة حلب كلية العلوم,1982.0,395.0,الترموديناميك,INV_BUA_9454
32/04,الأمير,"مكيا فللي, نيقولو",بيروت,دار الآفاق الجديدة,1979.0,375.0,علوم سياسية,INV_BUA_9455
32/12,مطارحات مكيافلي,"مكيافللي, نيقولو",بيروت,دار الافاق الجديدة,1979.0,792.0,علوم سياسية,INV_BUA_9456
69/09,تكنولوجيا الانشاء وتنظيم المشروعات: التخطيط والبرمجة,"ملحسى, الوليد",دمشق,جامعة دمشق,1989.0,192.0,أعمال البناء,INV_BUA_9457
330.11/16,الاقتصاد الهندسي,"ملحم, عبد القادر",حلب,جامعة حلب,1990.0,329.0,الظواهر والأهداف الإلاقتصادية,INV_BUA_9458
624/04,مبادئ تحليل النظم الهندسية,"ملحم, عبد القادر",حلب,مديرية الكتب والمطبوعات الجامعية,1993.0,504.0,الهندسة المدنية,INV_BUA_9459
37:297/03 م4,مكتبة التربية العربي لدول الخليج,من اعلام التربية العربية الاسلامية,الرياض,غير محدد,1989.0,359.0,تاريخ التربية والتعليم الإسلامي,INV_BUA_9460
964/180,مطابع سلا,"من سلسلة "" مدن وقبائل المغرب "": مدينة أزمور وضواحيها",سلا,غير محدد,1989.0,277.0,تاريخ المغرب,INV_BUA_9461
594/02,الحشرات: منافعها ومضارها,"مناع, محمد عبد الرزاق",طرابلس,الشركة العامة للنشر والتوزيع والاعلان,1975.0,109.0,علم الحشرات,INV_BUA_9462
801.6/03,الشافي في العروض والقوافي,"مناع, هاشم صالح",بيروت,دار الفكر العربي - دار الوسام,1989.0,284.0,العروض,INV_BUA_9463
297.055.2/10,المرأة في الإسلام,"مناع, هيثم",بيروت,دار الحداثة,1980.0,125.0,المرأة في الإسلام,INV_BUA_9464
37/21,التعلم عن بعد: أعمال الندوة التي نظمها منتدى الفكر العربي بالتعاون مع جامعة القدس المفتوحة,منتدى الفكر العربي,عمان,منتدى الفكر العربي,1978.0,385.0,التربية والتعليم,INV_BUA_9465
32/43,التجارب الديمقراطية في الوطن العربي,منتدى الفكر والحوار,بيروت,دار الحداثة,1981.0,155.0,علوم سياسية,INV_BUA_9466
008_927/28,الثقافة واالمثقف في المجتمع العربي: حوار مع عبد الرحمان منيف,منتدى عبد الحميد شومان الثقافي,عمان,مؤسسة عبد الحميد شومان,1998.0,60.0,الثقافة العربية,INV_BUA_9467
297.912/06,الإسلام والديمقراطية: حوار مع الدكتور محمد سليم العوا,منتدى عبد الحميد شومان الثقافي,عمان,مؤسسة عبد الحميد شومان,1998.0,52.0,الإسلام والعلوم السياسية,INV_BUA_9468
3/20,قضايا عربية وتحديات العولمة: حوار مع علي أمليل,منتدى عبد الحميد شومان الثقافي,عمان,مؤسسة عبد الحميد شومان,1998.0,48.0,العلوم الاجتماعية,INV_BUA_9469
3/22,العرب وتحديات القرن الواحد والعشرين: حوار مع برهان غليون,منتدى عبد الحميد شومان الثقافي,عمان,مؤسسة عبد الحميد شومان,1998.0,80.0,العلوم الاجتماعية,INV_BUA_9470
3/23,من أجل وحدة ثقافية عربية:حوار احمد كمال أبو المجد,منتدى عبد الحميد شومان الثقافي,عمان,مؤسسة عبد الحميد شومان,1998.0,64.0,العلوم الاجتماعية,INV_BUA_9471
330.191.6/121,"الخيارات الإقتصادية العربية حوار الشهلا""8"" مع اسماعيل صبري عبد الله",منتدى عبد الحميد شومان الثقافي,عمان,مطابع الدستور التجارية,1998.0,80.0,الإقتصاد العالمي,INV_BUA_9472
008_927/27,التازم العربي في الفكر والواقع: حوار مع جابر الأنصاري,"منتدى عبد الحميد, شومان الثقافي",عمان,مؤسسة عبد الحميد شومان,1998.0,72.0,الثقافة العربية,INV_BUA_9473
615/17,كيمياء العقاقير والاستخلاص,"منجد, حسان",دمشق,جامعة دمشق,1990.0,316.0,الصيدلة,INV_BUA_9474
82.09/117,الادب وفنونه,"مندور, محمد",القاهرة,دار نهضة مصر,1983.0,292.0,النقد الادبي,INV_BUA_9475
82.09/24,النقد المنهجي عند العرب ومنهج البحث في الأدب واللغة,"مندور, محمد",القاهرة,دار نهضة مصر,1983.0,477.0,النقد الأدبي,INV_BUA_9476
82.09/24 مكرر,النقد المنهجي عند العرب ومنهج البحث في الأدب واللغة,"مندور, محمد",القاهرة,دار نهضة مصر,1983.0,477.0,النقد الأدبي,INV_BUA_9477
82.09/46,"النقد والنقاد المعاصرون: حسين المرصفي, ميخائيل نعيمة, عبدالرحمن شكري, عباس محمود العقاد, ابراهيم عبد القادر المازني, لويس عوض, يحيى حقي, النقدالايديولوجي","مندور, محمد",القاهرة,دار نهضة مصر,1983.0,239.0,النقد الادبي,INV_BUA_9478
82.09/46 مكرر,"النقد والنقاد المعاصرون: حسين المرصفي, مخائيل نعيمة, عبد الرحمن شكري, عباس محمود العقاد, إبراهيم عبد القادر المزوني, لويس عوض, يحيى حقي, النقد الإيديولوجي.","مندور, محمد",بيروت,دار القلم,1983.0,184.0,النقد الادبي,INV_BUA_9479
82.09/46 مكرر2,"النقد والنقاد المعاصرون: حسين المرصفي, ميخائيل نعيمة, عبد الرحمن شكري, عباس محمود العقاد, إبراهيم عبد القادر المازني, لويس عوض, يحيى حقي, النقد الإيديولوجي","مندور, محمد",بيروت,دار القلم للطباعة والنشر,1983.0,184.0,النقد الادبي,INV_BUA_9480
82.091/61,الأدب ومذاهبه,"مندور, محمد",القاهرة,دار نهضة مصر,1983.0,174.0,دراسة أدبية مقارنة,INV_BUA_9481
82.091/76 ج1,الشعر المصري بعد شوقي,"مندور, محمد",القاهرة,دار نهضة مصر للطبع والنشر,1983.0,133.0,دراسة أدبية,INV_BUA_9482
82.091/76 ج2,الشعر المصري بعد شوقي: جماعة أبوللو,"مندور, محمد",القاهرة,دار نهضة مصر للطبع والنشر,1983.0,197.0,دراسة أدبية,INV_BUA_9483
82.091/76 ج3,الشعر المصري بعد شوقي: روافد أبوللو,"مندور, محمد",القاهرة,دار نهضة مصر للطباعة والنشر,1983.0,158.0,دراسة أدبية,INV_BUA_9484
82-92/01,ندوة اللغة العربية ووسائل الاعلام.,منشورات جامعة البترا.,عمان,جامعة البترا.,2002.0,148.0,الأدب الموسمي: الصحافة.,INV_BUA_9485
008_927/15,الإزدواج الثقافي وأزمة المعارضة المصرية,"منصور, إبراهيم",بيروت,دار الطليعة,1981.0,222.0,الثقافة العربية,INV_BUA_9486
61/36,الإنسان والمرض,"منصور, أحمد مختار",غير محدد,جامعة الزقازيق,1983.0,123.0,الطب,INV_BUA_9487
61/45,الإنسان والمرض,"منصور, أحمد مختار",مصر,جامعة الزقازيق,1983.0,129.0,الطب,INV_BUA_9488
82-82/40,في صالون العقاد كانت لنا أيام,"منصور, أنيس",القاهرة,دار الشروق,1983.0,692.0,أدب عام,INV_BUA_9489
82-82/40 مكرر,في صالون العقاد كانت لنا أيام,"منصور, أنيس",القاهرة,دار الشروق,1983.0,667.0,آداب عام,INV_BUA_9490
92/46,الخالدون مائة أعظمهم محمد رسول الله (ص),"منصور, أنيس",القاهرة,الزهراء للاعلام العربي,1986.0,394.0,بيوغرافيا,INV_BUA_9491
615/10,الصيدلانيات,"منصور, زياد",دمشق,مطبعة خالد ابن الوليد,1991.0,270.0,الصيدلة,INV_BUA_9492
61/11,الصحة والمجتمع,"منصور, سرور أسعد",تونس,الدار العربية للكتاب,1983.0,378.0,الطب,INV_BUA_9493
82-1_مه/03,التجديد في شعر خليل مطران,"منصور, سعيد حسين",الإسكندرية,الهيئة العامة للكتاب,1977.0,451.0,الأدب المهجري,INV_BUA_9494
54/25,الكيمياء العامة,"منصور, عبد الحليم",دمشق,منشورات جامعة دمشق,1992.0,320.0,الكيمياء,INV_BUA_9495
159.9:37/05,علم النفس التربوي,"منصور, علي",دمشق,مطبعة خالد ابن الوليد,1991.0,516.0,علم النفس التربوي,INV_BUA_9496
621.313/06,تصميم الآلات الكهربائية,"منصور, ميشيل",حلب,جامعة حلب,1986.0,390.0,الآلات الكهربائية,INV_BUA_9497
621.313/11 ج2,القياسات الكهربائية وأجهزتها,"منصور, ميشيل",حلب,منشورات جامعة حلب,1982.0,350.0,آلات القياس الكهربائية,INV_BUA_9498
911/31,كلية الآداب والعلوم الإنسانية,منطقة الغرب المجال والانسان,القنيطرة,غير محدد,1991.0,178.0,جغرافية عامة,INV_BUA_9499
331/33,مراجعة نحو التقدم: اليوبيل الفضي لمؤتمر العمل العربي,منطمة العمل العربية,القاهرة,مكتب العمل العربي,1998.0,251.0,القانون الاجتماعي,INV_BUA_9500
03_620/01 ج2,مصطلحات الطاقة,منظمة الأقطار العربية المصدرة للبترول,الكويت,داربرغامون للنشر البريطانية,1983.0,252.0,معجم الطاقة: عربي - إنجليزي - فرنسي,INV_BUA_9501
33/23,تقرير الامين العام السنوى الثامن 1401-1981,منظمة الأقطار العربية المصدرة للبترول,الكويت,منظمة الاقطار العربية المصدرة للبترول,1982.0,205.0,الاقتصاد السياسي,INV_BUA_9502
33/24,تقرير الامين العام السنوى الخامس 1398 ه1978,منظمة الأقطار العربية المصدرة للبترول,غير محدد,دار القبس للصحافة والطباعة والنشر,1978.0,129.0,الاقتصاد السياسي,INV_BUA_9503
33/51,تقرير الامين العام السنوي الرابع المقدم الى الاجتماع التاسع عشر لمجلس الوزراء,منظمة الأقطار العربية المصدرة للبترول,الكويت,منظمة الأقطار العربية المصدرة للبترول,1977.0,148.0,الاقتصاد السياسي,INV_BUA_9504
338.924/09,الموقف الحالي لصناعة التكرير العربية واتجاهاتها المستقبلية,منظمة الأقطار العربية المصدرة للبترول,الكويت,المنظمة,1978.0,45.0,التصنيع,INV_BUA_9505
